DATE,imports
01-01-2010,26111645891
01-02-2010,28326153983
01-03-2010,28531001466
01-04-2010,31915045204
01-05-2010,29079355755
01-06-2010,28773020410
01-07-2010,29233320788
01-08-2010,27397845291
01-09-2010,28924928360
01-10-2010,32305580086
01-11-2010,28747209893
01-12-2010,30566914601
01-01-2011,34433709151
01-02-2011,35660586446
01-03-2011,32998653555
01-04-2011,37476017206
01-05-2011,43546792369
01-06-2011,41061119499
01-07-2011,41180975729
01-08-2011,39789610877
01-09-2011,38974635036
01-10-2011,40977305299
01-11-2011,38967535981
01-12-2011,39429344713
01-01-2012,43590679210
01-02-2012,43149004316
01-03-2012,41465790945
01-04-2012,39100182769
01-05-2012,39984918966
01-06-2012,36975820937
01-07-2012,40072525555
01-08-2012,37141710365
01-09-2012,42585236390
01-10-2012,42638191740
01-11-2012,40294689539
01-12-2012,43021559371
01-01-2013,44664477363
01-02-2013,44050414204
01-03-2013,40701247242
01-04-2013,41912384862
01-05-2013,41735017498
01-06-2013,36713007251
01-07-2013,37227022029
01-08-2013,37464058044
01-09-2013,34140550428
01-10-2013,36705759542
01-11-2013,34165479193
01-12-2013,35926848492
01-01-2014,36267792385
01-02-2014,36347873649
01-03-2014,41042258808
01-04-2014,36093627485
01-05-2014,37711206730
01-06-2014,39256359209
01-07-2014,38937494630
01-08-2014,38525881151
01-09-2014,42495850532
01-10-2014,38056303775
01-11-2014,43885436871
01-12-2014,34096880172
01-01-2015,32710602808
01-02-2015,31003335328
01-03-2015,34656061797
01-04-2015,33791956901
01-05-2015,32263685755
01-06-2015,33790951559
01-07-2015,35370538622
01-08-2015,34938719601
01-09-2015,31419026595
01-10-2015,30533481379
01-11-2015,30207177103
01-12-2015,32850709502
01-01-2016,29718894500
01-02-2016,29429501690
01-03-2016,26289864393
01-04-2016,26327778198
01-05-2016,27375935563
01-06-2016,31172006892
01-07-2016,29464998631
01-08-2016,29181300004
01-09-2016,31240623489
01-10-2016,34378888650
01-11-2016,33264465555
01-12-2016,33835720849
01-01-2017,32652366696
01-02-2017,36890034953
01-03-2017,38444566202
01-04-2017,40429872693
01-05-2017,36477038787
01-06-2017,37389643952
01-07-2017,34433249305
01-08-2017,35928304444
01-09-2017,37870205604
01-10-2017,36797885781
01-11-2017,41147507610
01-12-2017,41722552234
01-01-2018,40493652932
01-02-2018,40759462314
01-03-2018,41863777623
01-04-2018,40936806756
01-05-2018,41874436351
01-06-2018,45990185214
01-07-2018,43978403928
01-08-2018,45546719788
01-09-2018,43422015054
01-10-2018,43155187108
01-11-2018,43405906257
01-12-2018,41998835269
01-01-2019,41196791118
01-02-2019,39346536140
01-03-2019,43435517591
01-04-2019,42715968350
01-05-2019,44538288847
01-06-2019,42856582904
01-07-2019,39435504619
01-08-2019,40341630981
01-09-2019,37621484602
01-10-2019,36701086391
01-11-2019,38935620546
01-12-2019,38594467913
01-01-2020,40841813284
01-02-2020,41188259862
01-03-2020,30786164452
01-04-2020,17214571619
01-05-2020,22540497663
01-06-2020,21588534365
01-07-2020,27781121391
01-08-2020,31935684249
01-09-2020,29762251305
01-10-2020,33459323552
01-11-2020,34182731387
01-12-2020,41146674710
01-01-2021,43053756102
01-02-2021,43526107785
01-03-2021,46577648520
01-04-2021,45987364368
01-05-2021,38075649089
01-06-2021,42650144349
01-07-2021,45777010319
01-08-2021,45672829298
01-09-2021,55449606272
01-10-2021,53364147813
01-11-2021,52621462869
01-12-2021,56989992272
01-01-2022,53179858271
01-02-2022,59926107278
01-03-2022,60589538023
01-04-2022,61720457571
01-05-2022,61437801979
01-06-2022,67233363674
01-07-2022,66794615005
01-08-2022,61700492957
01-09-2022,60036158480
